"egame_id","game_id","matchup","time","favorite","espn_spread"
400945253,93,"Idaho State @ Utah State"," 20:00:00","USU",30
400935239,94,"Ohio @ Purdue"," 20:00:00","PUR",3.5
400944893,95,"Arkansas-Pine Bluff @ Akron"," 18:30:00","",NA
400933841,96,"Fresno State @ Alabama"," 15:30:00","ALA",43.5
400944831,97,"Savannah State @ Appalachian State"," 15:30:00","",NA
400935258,98,"Houston @ Arizona"," 22:30:00","HOU",1
400935259,99,"San Diego State @ Arizona State"," 23:00:00","ASU",3.5
400933842,100,"TCU @ Arkansas"," 15:30:00","TCU",3
400937457,101,"Miami @ Arkansas State",NA,"",NA
400938605,102,"UAB @ Ball State"," 15:00:00","BALL",14
400934498,103,"UT San Antonio @ Baylor"," 20:00:00","BAY",17
400937453,104,"Wake Forest @ Boston College"," 13:00:00","BC",1.5
400944897,105,"South Dakota @ Bowling Green"," 18:00:00","",NA
400935263,106,"Utah @ BYU"," 22:15:00","UTAH",1.5
400935268,107,"Weber State @ California"," 17:00:00","",NA
400933843,108,"Auburn @ Clemson"," 19:00:00","CLEM",5
400935262,109,"Texas State @ Colorado"," 14:00:00","COLO",35.5
400945254,110,"Abilene Christian @ Colorado State"," 15:30:00","",NA
400941796,111,"South Florida @ Connecticut"," 10:30:00","USF",17
400935240,112,"Northwestern @ Duke"," 12:00:00","NW",3
400938600,113,"Alcorn State @ Florida Intl"," 19:00:00","",NA
400933844,114,"Northern Colorado @ Florida"," 12:00:00","",NA
400937454,115,"Louisiana Monroe @ Florida State"," 12:00:00","FSU",34.5
400937455,116,"Jacksonville State @ Georgia Tech"," 12:30:00","",NA
400944833,117,"UNLV @ Idaho"," 19:00:00","IDHO",6.5
400935241,118,"Western Kentucky @ Illinois"," 20:00:00","WKU",7.5
400934499,119,"Iowa @ Iowa State"," 12:00:00","IOWA",2.5
400934500,120,"Central Michigan @ Kansas"," 16:00:00","KU",5.5
400934501,121,"Charlotte @ Kansas State"," 12:00:00","KSU",36.5
400944896,122,"Howard @ Kent State"," 15:30:00","",NA
400933846,123,"Eastern Kentucky @ Kentucky"," 12:00:00","",NA
400933847,124,"Chattanooga @ LSU"," 19:30:00","",NA
400935242,125,"Towson @ Maryland"," 12:00:00","",NA
400944894,126,"Austin Peay @ Miami (OH)"," 15:30:00","",NA
400935243,127,"Cincinnati @ Michigan"," 12:00:00","MICH",34.5
400935244,128,"Western Michigan @ Michigan State"," 15:30:00","MSU",7
400933850,129,"South Carolina @ Missouri"," 19:00:00","MIZ",2.5
400937458,130,"Marshall @ NC State"," 18:00:00","NCST",24.5
400944898,131,"Toledo @ Nevada"," 19:00:00","TOL",9.5
400944834,132,"New Mexico State @ New Mexico"," 20:00:00","UNM",7
400937456,133,"Louisville @ North Carolina"," 12:00:00","LOU",10
400944895,134,"Eastern Illinois @ Northern Illinois"," 15:30:00","",NA
400934502,135,"Oklahoma @ Ohio State"," 19:30:00","OSU",7
400933848,136,"UT Martin @ Ole Miss"," 12:00:00","",NA
400935264,137,"Nebraska @ Oregon"," 16:30:00","ORE",13.5
400935265,138,"Minnesota @ Oregon State"," 22:00:00","ORST",2
400935245,139,"Pittsburgh @ Penn State"," 15:30:00","PSU",22
400935246,140,"Eastern Michigan @ Rutgers"," 15:30:00","RUTG",5.5
400938601,141,"North Texas @ SMU"," 19:00:00","SMU",13
400934503,142,"Oklahoma State @ South Alabama"," 20:00:00","OKST",28
400938604,143,"Southern @ Southern Mississippi"," 19:00:00","",NA
400937459,144,"Middle Tennessee @ Syracuse"," 15:30:00","SYR",9.5
400941797,145,"Villanova @ Temple"," 15:30:00","",NA
400933851,146,"Indiana State @ Tennessee"," 16:00:00","",NA
400934504,147,"San José State @ Texas"," 15:30:00","TEX",26
400933852,148,"Nicholls @ Texas A&M"," 19:00:00","",NA
400944835,149,"Alabama State @ Troy"," 18:00:00","",NA
400941798,150,"Louisiana @ Tulsa"," 16:00:00","TLSA",14.5
400941795,151,"Memphis @ UCF"," 18:30:00","UCF",3
400935261,152,"Hawai'i @ UCLA"," 17:00:00","UCLA",23.5
400938602,153,"Old Dominion @ UMass"," 15:30:00","ODU",3.5
400935260,154,"Stanford @ USC"," 20:30:00","USC",6.5
400938603,155,"Rice @ UTEP"," 20:00:00","UTEP",1.5
400933853,156,"Alabama A&M @ Vanderbilt"," 16:00:00","",NA
400935347,157,"Indiana @ Virginia"," 15:30:00","IND",3
400937460,158,"Delaware @ Virginia Tech"," 15:30:00","",NA
400935266,159,"Montana @ Washington"," 20:00:00","",NA
400935267,160,"Boise State @ Washington State"," 22:30:00","WSU",10
400934505,161,"East Carolina @ West Virginia"," 12:00:00","WVU",24
400935348,162,"Florida Atlantic @ Wisconsin"," 12:00:00","WIS",32
400945255,163,"Gardner-Webb @ Wyoming"," 16:00:00","",NA
400934562,164,"Buffalo @ Army"," 12:00:00","ARMY",16.5
400941794,165,"Tulane @ Navy"," 15:30:00","NAVY",13
400944832,166,"New Hampshire @ Georgia Southern"," 16:00:00","",NA
400933849,168,"Mississippi State @ Louisiana Tech"," 19:30:00","MSST",8.5
400933845,169,"Georgia @ Notre Dame"," 19:30:00","ND",4
