"matchup","game_id","oddshark_spread"
"New MexicoBoise State","170",16.5
"MassachusettsTemple","171",14.5
"IllinoisUSF","172",18
"ArizonaUTEP","173",20.5
"Iowa StateAkron","174",9.5
"Colorado StateAlabama","175",28.5
"Arkansas-Pine BluffArkansas State","176",NA
"MercerAuburn","177",NA
"Tennessee TechBall State","178",NA
"Notre DameBoston College","179",13.5
"ColgateBuffalo","180",NA
"WisconsinBYU","181",15.5
"Ole MissCalifornia","182",3.5
"North Carolina A&TCharlotte","183",NA
"Northern ColoradoColorado","184",NA
"BaylorDuke","185",14.5
"Virginia TechEast Carolina","186",20.5
"Bethune-CookmanFlorida Atlantic","187",NA
"TennesseeFlorida","188",5.5
"Miami-FLFlorida State","189",NA
"Miami-FLFlorida State","189",NA
"SamfordGeorgia","190",NA
"RiceHouston","191",22.5
"North TexasIowa","193",21
"ClemsonLouisville","194",3
"Kent StateMarshall","195",15
"UCLAMemphis","196",3
"CincinnatiMiami-OH","197",4.5
"Air ForceMichigan","198",24.5
"Middle TennesseeMinnesota","199",10.5
"LSUMississippi State","200",7
"PurdueMissouri","201",7.5
"FurmanNC State","202",NA
"NIUNebraska","203",14
"Idaho StateNevada","204",NA
"TroyNew Mexico State","205",6.5
"Bowling GreenNorthwestern","206",21.5
"KansasOhio","207",7.5
"ArmyOhio State","208",30.5
"TulaneOklahoma","209",34
"North CarolinaOld Dominion","210",7.5
"Georgia StatePenn State","211",38.5
"Oklahoma StatePittsburgh","212",14
"Morgan StateRutgers","213",NA
"Alabama A&MSouth Alabama","214",NA
"KentuckySouth Carolina","215",6.5
"Central MichiganSyracuse","216",10.5
"SMUTCU","217",18.5
"Louisiana-LafayetteTexas A&M","218",22.5
"Appalachian StateTexas State","219",24
"Arizona StateTexas Tech","220",7.5
"TulsaToledo","221",10
"Coastal CarolinaUAB","222",2
"Georgia TechUCF","223",1.5
"Southern MissLouisiana-Monroe","224",6.5
"TexasUSC","225",17
"San Jose StateUtah","226",26.5
"Southern UniversityUTSA","227",NA
"Kansas StateVanderbilt","228",3.5
"UCONNVirginia","229",10
"Utah StateWake Forest","230",13.5
"Fresno StateWashington","231",33
"Oregon StateWashington State","232",20.5
"Delaware StateWest Virginia","233",NA
"LA TechWKU","234",7
"IdahoWestern Michigan","235",21
"OregonWyoming","237",14
"StanfordSan Diego State","238",9.5
"FIUIndiana",NA,25
